2026-04-15 12:10:43 - main - INFO - ==================================================
2026-04-15 12:10:43 - main - INFO - 豆瓣电影Top250爬虫启动
2026-04-15 12:10:43 - main - INFO - ==================================================
2026-04-15 12:10:43 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=0
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 肖申克的救赎
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 霸王别姬
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 泰坦尼克号
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 阿甘正传
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 千与千寻
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 美丽人生
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 星际穿越
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 这个杀手不太冷
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 盗梦空间
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 楚门的世界
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 辛德勒的名单
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 忠犬八公的故事
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 海上钢琴师
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 疯狂动物城
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 三傻大闹宝莱坞
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 机器人总动员
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 放牛班的春天
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 无间道
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 控方证人
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 寻梦环游记
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 大话西游之大圣娶亲
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 熔炉
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 触不可及
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 教父
2026-04-15 12:10:46 - spider - DEBUG - 解析电影: 末代皇帝
2026-04-15 12:10:46 - spider - INFO - 第 1 页爬取完成，获取 25 部电影
2026-04-15 12:10:46 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=25
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 哈利·波特与魔法石
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 当幸福来敲门
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 龙猫
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 活着
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 怦然心动
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 蝙蝠侠：黑暗骑士
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 指环王3：王者无敌
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 我不是药神
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 乱世佳人
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 飞屋环游记
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 让子弹飞
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 哈尔的移动城堡
2026-04-15 12:10:48 - spider - DEBUG - 解析电影: 十二怒汉
